OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
1,1,21,041,GILCHRIST,Gilchrist,FL,443,8,7,40,58,55,63,67,61,54,30,0,0 to 118,53,280,154,9,443,0,0,3,435,2,14,1,7,436,0,0,443,6,1,0,0,4,3,0,7,0,0,0,1,1,2,2,1,0,0,0,25 to 73,52,6,1,0,0,0,7,0,1,0,0,0,0,0,7,3,4,7,0,0,436,0,443,436,7,0,18,1,920490830.042053,148547.348006441,50
2,2,54,107,PUTNAM,Putnam,FL,2550,53,77,231,358,323,403,395,320,242,138,10,0 to 118,50,1642,862,46,2545,5,0,71,2328,133,204,17,128,2416,4,2,2539,84,44,0,0,77,51,0,128,0,11,13,16,19,19,11,18,14,7,0,6 to 98,47,73,51,4,0,4,121,3,28,0,15,0,0,3,128,51,77,128,0,0,2411,5,2548,2416,128,3,93,28,2142439482.67719,232574.925675008,42
3,3,62,123,TAYLOR,Taylor,FL,365,24,12,14,42,46,50,62,67,33,13,2,0 to 118,54,189,152,24,364,1,0,14,332,3,65,3,3,362,0,0,364,3,0,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,0,0,29 to 60,47,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,361,1,365,362,3,0,19,2,2685252568.13834,267348.178950349,47
4,4,46,091,OKALOOSA,Okaloosa,FL,3487,112,88,281,560,563,496,565,405,245,137,35,0 to 119,47,2097,1354,36,3356,130,1,97,3172,137,183,62,177,3309,1,0,3356,92,78,3,4,90,80,0,170,3,4,6,23,23,22,36,28,21,11,0,0 to 96,56,133,27,8,2,29,139,2,49,1,30,0,0,5,177,84,93,169,7,1,3186,123,3487,3309,177,5,437,115,2369222670.29688,330553.160278386,58
5,5,7,013,CALHOUN,Calhoun,FL,343,1,3,30,32,53,43,60,51,46,23,1,0 to 99,56,204,121,18,343,0,0,3,296,4,28,3,38,304,1,0,342,23,15,0,0,31,7,0,38,0,0,4,3,4,1,2,6,8,10,0,20 to 99,74,24,7,1,6,0,30,8,10,0,4,0,0,1,38,7,31,38,0,0,304,0,343,304,38,1,65,20,1487626835.10838,192207.890331272,52
6,6,50,099,PALM BEACH,Palm Beach,FL,48850,658,856,3162,5636,5854,7077,8710,7575,5118,2619,1585,0 to 115,55,27200,21429,221,48278,570,2,890,46307,465,2931,212,4440,44079,227,104,47953,4230,127,77,6,2123,2230,4,4357,25,60,384,636,644,665,674,570,476,303,3,0 to 104,52,2068,818,537,934,1160,2172,1025,1065,27,809,17,11,275,4440,2276,2160,4355,83,2,43596,483,48746,44079,4440,275,707,444,5710098601.29486,464192.459734082,55
7,7,56,111,ST. LUCIE,St. Lucie,FL,6041,109,124,364,672,715,934,1102,1081,678,248,14,0 to 102,55,3451,2413,177,5940,101,0,258,5400,188,584,64,316,5649,6,70,5864,289,18,9,0,174,133,0,307,2,4,21,33,46,49,50,50,37,24,0,3 to 97,56,176,72,31,28,52,219,36,115,0,83,0,0,27,316,136,180,307,9,0,5557,92,5971,5649,316,27,73,58,1499679486.67142,252832.323289834,58
8,8,51,101,PASCO,Pasco,FL,9531,161,218,630,1141,1362,1590,1703,1453,877,377,19,0 to 119,52,5658,3841,32,9476,55,0,137,9098,223,414,92,314,9194,6,17,9453,261,43,9,1,158,146,0,304,6,7,25,36,62,63,42,46,15,12,0,1 to 94,49,200,36,40,28,63,208,33,80,4,62,3,1,9,314,152,162,304,10,0,9149,45,9514,9194,314,9,561,136,1975344274.45807,225211.500752162,48
9,9,20,039,GADSDEN,Gadsden,FL,1195,26,40,96,161,190,225,197,169,64,25,2,0 to 98,49,749,433,13,1189,5,1,13,1048,46,170,12,212,979,2,2,1186,201,7,4,0,155,53,0,208,1,2,10,39,52,44,26,21,11,6,0,4 to 98,45,57,93,8,50,12,133,63,37,0,35,0,0,1,212,53,159,207,4,1,978,1,1193,979,212,1,206,92,1367889846.39806,205127.330650714,45
10,10,37,073,LEON,Leon,FL,8613,131,183,924,1535,1386,1427,1433,1071,362,131,30,0 to 116,45,4136,4349,128,8489,123,1,104,8194,201,285,67,276,8320,3,14,8473,250,10,15,1,141,119,0,260,1,3,44,56,44,44,52,24,5,3,0,2 to 87,43,101,132,8,19,16,223,21,68,9,33,9,5,6,276,129,147,259,16,1,8213,107,8599,8320,276,6,470,188,1817477697.41779,246081.909627491,43
