OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
1,1,21,041,GILCHRIST,Gilchrist,FL,478,10,7,47,61,61,66,71,65,58,32,0,0 to 118,52,299,169,10,478,0,0,3,469,2,15,1,8,470,0,0,478,7,1,0,0,4,4,0,8,0,0,1,1,1,2,2,1,0,0,0,21 to 73,50,6,1,0,1,0,8,0,1,0,0,0,0,0,8,4,4,8,0,0,542,0,550,542,8,0,18,1,920490830.042053,148547.348006441,50
2,2,54,107,PUTNAM,Putnam,FL,2715,54,82,250,385,341,419,435,337,258,143,11,0 to 118,50,1732,939,44,2709,6,0,72,2486,133,209,19,136,2573,4,2,2703,90,46,0,0,82,54,0,136,0,11,13,17,20,22,14,18,14,7,0,6 to 98,48,74,54,8,0,6,127,3,29,0,16,0,0,4,136,54,82,136,0,0,2974,6,3125,2980,136,4,98,29,2142439482.67719,232574.925675008,42
3,3,62,123,TAYLOR,Taylor,FL,406,26,12,19,48,51,53,71,76,35,13,2,0 to 118,54,216,166,24,405,1,0,16,364,3,73,3,8,397,0,1,404,6,2,0,0,6,2,0,8,0,0,3,1,0,1,1,2,0,0,0,20 to 70,38,8,0,0,0,0,6,2,1,0,0,0,0,0,8,2,6,8,0,0,627,1,638,628,8,0,57,40,2685252568.13834,267348.178950349,47
4,4,46,091,OKALOOSA,Okaloosa,FL,3801,125,98,298,583,586,537,625,473,283,156,37,0 to 119,48,2285,1483,33,3672,128,1,101,3470,137,191,65,184,3617,0,0,3673,97,79,4,4,94,82,0,176,3,4,6,23,26,23,38,30,20,11,0,0 to 96,56,138,28,8,2,29,145,2,51,2,30,1,0,6,184,87,97,175,8,1,4791,120,5099,4911,184,6,453,120,2369222670.29688,330553.160278386,58
5,5,7,013,CALHOUN,Calhoun,FL,376,3,3,34,33,56,48,66,58,49,25,1,0 to 99,56,225,132,19,376,0,0,3,323,4,30,3,41,334,1,0,375,24,17,0,0,32,9,0,41,0,0,5,3,4,1,2,6,9,11,0,20 to 99,74,25,8,2,6,0,32,9,10,0,4,0,0,2,41,9,32,41,0,0,440,0,483,440,41,2,65,16,1487626835.10838,192207.890331272,52
6,6,50,099,PALM BEACH,Palm Beach,FL,52518,735,970,3398,6063,6256,7511,9311,8230,5579,2875,1590,0 to 115,55,29125,23164,229,51913,603,2,1208,49302,465,3635,277,4968,47217,224,109,51585,4747,130,85,6,2380,2487,10,4877,38,80,437,730,743,755,732,603,509,339,2,0 to 104,51,2344,925,622,986,1362,2434,1081,1305,27,998,17,11,308,4968,2537,2421,4875,91,2,54037,509,59948,54546,4968,308,709,445,5710098601.29486,464192.459734082,55
7,7,56,111,ST. LUCIE,St. Lucie,FL,6625,120,137,406,739,785,1026,1217,1171,735,265,24,0 to 102,55,3774,2659,192,6486,139,0,272,5902,188,645,66,349,6215,6,55,6425,318,21,10,0,192,146,1,339,2,5,22,45,50,55,55,52,39,24,0,3 to 97,54,188,76,34,41,58,234,47,119,0,87,1,0,28,349,150,198,339,10,0,8137,129,8624,8266,349,28,73,58,1499679486.67142,252832.323289834,58
8,8,51,101,PASCO,Pasco,FL,10305,184,233,682,1208,1455,1713,1842,1602,960,400,26,0 to 119,53,6089,4183,33,10248,57,0,143,9837,223,432,94,335,9949,6,15,10227,280,45,9,1,171,154,0,325,6,7,27,38,65,67,45,50,16,14,0,1 to 94,49,215,36,42,32,66,222,37,87,4,70,3,1,12,335,160,175,325,10,0,11678,47,12079,11725,335,12,588,150,1975344274.45807,225211.500752162,48
9,9,20,039,GADSDEN,Gadsden,FL,1795,30,53,124,336,327,314,273,225,80,31,2,0 to 98,45,1279,504,12,1789,5,1,19,1628,46,225,13,249,1544,2,0,1788,237,8,4,0,189,56,0,245,2,4,12,53,59,48,29,25,10,7,0,0 to 98,44,97,106,8,34,18,179,48,43,0,40,0,0,1,249,57,192,244,4,1,2778,1,3038,2779,249,1,255,131,1367889846.39806,205127.330650714,45
10,10,37,073,LEON,Leon,FL,9555,148,206,1037,1676,1498,1567,1604,1216,419,154,30,0 to 116,46,4678,4747,130,9411,143,1,111,9082,201,316,70,320,9223,2,10,9400,287,12,20,1,160,139,0,299,1,3,70,61,46,49,56,25,6,3,0,2 to 87,40,110,158,9,22,19,254,26,69,10,34,9,6,6,320,150,170,298,21,1,11149,122,11595,11271,320,6,518,210,1817477697.41779,246081.909627491,43
